"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.943143333E0,-5.441414714E-1,2.401057720E0,2.055055618E0
2.953155333E0,-8.291311860E-1,2.369840622E0,2.458626747E0
2.963167333E0,-1.226800799E0,3.113673925E0,2.671159506E0
2.973179333E0,-1.568283081E0,4.190247536E0,2.401602030E0
2.983192333E0,-1.796261668E0,5.436207294E0,1.954550982E0
2.993204333E0,-1.852984428E0,6.893799782E0,1.510453701E0
3.003216333E0,-1.850999594E0,7.857406616E0,1.227510095E0
3.013228333E0,-1.817041159E0,8.195590019E0,1.148165345E0
3.023240333E0,1.649287939E-1,1.472976780E1,2.835085988E-1
3.033253333E0,2.060396910E0,2.054991150E1,2.618086040E-1
3.043265333E0,7.502963543E-1,1.754335785E1,1.562130213E0
3.053277333E0,3.226630986E-1,1.305513763E1,1.758271694E0
3.063289333E0,1.238388181E0,3.939953566E0,1.115009427E0
3.073302333E0,9.116561413E-1,3.404104114E-1,3.141755164E-1
3.083314333E0,-1.942089647E-1,1.526588798E-1,-3.231756687E-1
3.093326333E0,-5.266481638E-1,-1.066091299E0,-2.114196122E-1
3.103338333E0,-1.009349942E0,-2.765248060E0,-1.440907642E-2
3.113350333E0,-1.240864396E0,-3.882810831E0,2.291571796E-1
3.123363333E0,-1.142946959E0,-4.196227074E0,4.274034500E-1
3.133375333E0,-8.833181858E-1,-4.272634029E0,5.869539976E-1
3.143387333E0,-5.464200377E-1,-4.267537117E0,7.469492555E-1
3.153399333E0,-1.971183121E-1,-3.940057039E0,8.540820479E-1
3.163412333E0,8.670115471E-2,-3.055200338E0,8.866208196E-1
3.173424333E0,3.294776380E-1,-1.677582502E0,8.160976171E-1
3.183436333E0,5.398255587E-1,-1.378692240E-1,6.701369882E-1
3.193448333E0,6.823749542E-1,1.280987978E0,5.461568236E-1
3.203460333E0,7.449744344E-1,2.548934221E0,4.767258167E-1
3.213473333E0,7.378567457E-1,3.639435053E0,4.697538912E-1
3.223485333E0,7.023637295E-1,4.186504364E0,4.680912793E-1
3.233497333E0,6.650906801E-1,3.889612675E0,3.671346307E-1
3.243509333E0,5.758564472E-1,2.780575275E0,1.744400114E-1
3.253522333E0,3.376657069E-1,1.200355530E0,-4.033497348E-2
3.263534333E0,-4.613574594E-2,-8.224120736E-2,-1.394570321E-1
3.273546333E0,-2.084328085E-1,-4.780552387E-1,-1.271509528E-1
3.283558333E0,-1.874188632E-1,-5.240799785E-1,-9.142199159E-2
3.293570333E0,-2.056051642E-1,-6.281316280E-1,-3.983650357E-2
3.303583333E0,-2.539550960E-1,-8.117856383E-1,-2.514517680E-2
3.313595333E0,-2.730618417E-1,-9.922643900E-1,-4.771246389E-2
3.323607333E0,-2.384513915E-1,-1.126405954E0,-7.944136858E-2
3.333619333E0,-1.709591150E-1,-1.179109454E0,-1.147718877E-1
3.343632333E0,-9.475941211E-2,-1.102412581E0,-1.406764537E-1
3.353644333E0,-1.114337333E-2,-8.652825952E-1,-1.570683867E-1
3.363655667E0,4.806402326E-2,-5.039635301E-1,-1.561418623E-1
3.373667667E0,6.647944450E-2,-1.058548540E-1,-1.553819627E-1
3.383679667E0,4.303883016E-2,2.301636189E-1,-1.700115055E-1
3.393692667E0,1.204690058E-2,4.622898698E-1,-1.814786494E-1
3.403704667E0,-2.905683126E-3,5.791515708E-1,-1.838981360E-1
3.413716667E0,-7.735495921E-3,5.736074448E-1,-1.682953089E-1
3.423728667E0,-2.168912813E-2,4.794002771E-1,-1.492339969E-1
3.433741667E0,-3.358983621E-2,3.462828100E-1,-1.101540402E-1
3.443753667E0,-3.029656969E-2,2.124440372E-1,-4.575747624E-2
3.453765667E0,-1.478365529E-2,1.106686667E-1,3.080201522E-2
3.463777667E0,-2.216727100E-2,9.662502259E-2,4.998796061E-2
3.473789667E0,-1.090181805E-2,1.443755925E-1,3.671142086E-2
3.483802667E0,2.620914951E-3,1.852993220E-1,3.411883116E-2
3.493814667E0,5.548589397E-3,1.961040050E-1,3.339688480E-2
3.503826667E0,8.194440044E-3,1.775673479E-1,3.730747104E-2
3.513838667E0,1.106858626E-2,1.443702132E-1,3.169596195E-2
3.523850667E0,1.418847870E-2,1.145761088E-1,2.416507341E-2
3.533863667E0,1.637651958E-2,9.102173895E-2,1.358299702E-2
3.543875667E0,2.256357670E-2,8.040158451E-2,7.695812732E-3
3.553887667E0,2.906379662E-2,9.635941684E-2,7.108732127E-3
3.563899667E0,3.744157031E-2,1.245212853E-1,9.888273664E-3
3.573912667E0,3.972156346E-2,1.538501233E-1,1.156956516E-2
3.583924667E0,4.541699961E-2,1.800913066E-1,9.435573593E-3
3.593936667E0,5.351595208E-2,1.995404363E-1,5.418628920E-3
3.603948667E0,6.157574058E-2,2.160011679E-1,2.816720400E-3
3.613960667E0,5.760164559E-2,2.148477733E-1,5.390374921E-3
3.623973667E0,5.661121383E-2,1.883911341E-1,-1.602553762E-3
3.633985667E0,4.053100571E-2,1.460637450E-1,-1.998909982E-3
3.643997667E0,2.840483375E-2,9.137706459E-2,-8.249934763E-5
3.654009667E0,1.750271581E-2,5.490078405E-2,3.854557872E-4
3.664022667E0,1.066664699E-2,3.534546122E-2,1.913843676E-3
3.674034667E0,1.202765387E-2,3.312756121E-2,3.043315373E-3
3.684046667E0,1.532944012E-2,4.780690372E-2,6.273197010E-3
3.694058667E0,2.493014187E-2,7.587160170E-2,8.505142294E-3
3.704070667E0,3.560116142E-2,1.158046350E-1,9.014339186E-3
3.714083667E0,4.473491013E-2,1.483419687E-1,1.268800627E-2
3.724095667E0,4.727050662E-2,1.570017636E-1,6.307072006E-3
3.734107667E0,4.797870666E-2,1.526331156E-1,5.353381392E-3
3.744119667E0,4.494084045E-2,1.337515712E-1,2.648408525E-3
3.754132667E0,3.722828627E-2,1.081139445E-1,-7.040565833E-4
3.764144667E0,2.916157059E-2,7.806549966E-2,1.378003042E-3
3.774156667E0,1.757265255E-2,4.867706448E-2,3.470663913E-3
3.784168667E0,7.920823991E-3,2.304919809E-2,1.351586543E-3
3.794180667E0,1.725929091E-3,-1.526599284E-3,2.299497835E-3
3.804193667E0,-5.516537465E-3,-1.408127323E-2,-3.777779639E-4
3.814205667E0,-7.798612583E-3,-2.107959613E-2,6.638825871E-4
3.824217667E0,-4.632380325E-3,-2.040794678E-2,-4.929944407E-4
